id	target	response	HumanPartialFinal	question
1	Is stimulated by the axillary nerve	the axillary nerve	0.5	The Deltoid Muscle
2	Is stimulated by the radial nerve	The radial nerve.	0.5	The Triceps Muscle
3	Is stimulated by the axillary nerve	Is stimulated by the axillary nerve.	1	The Deltoid Muscle
4	Is stimulated by the radial nerve	Is stimulated by the radial nerve.	1	The Triceps Muscle
5	Is stimulated by the axillary nerve	Is stimulated by the axillary nerve.	1	The Deltoid Muscle
6	Is stimulated by the radial nerve	Is stimulated by the radial nerve.	1	The Triceps Muscle
7	Is stimulated by the axillary nerve	Is stimulated by the axillary nerve.	1	The Deltoid Muscle
8	Is stimulated by the radial nerve	Is stimulated by the radial nerve. 	1	The Triceps Muscle
9	Functions to extend the thigh at the hip	Functions to extend the leg 	0	The Gluteus Maximus Muscle
10	Is stimulated by the femoral nerve	Is stimulated by the fibial nerve. 	0	The Quadriceps Muscles
11	Functions to extend the foot at the ankle	Functions to extend the foot.	0.5	The Gastrocnemius Muscle
12	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve. 	1	The Gastrocnemius Muscle
13	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip.	1	The Gluteus Maximus Muscle
14	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve. 	1	The Quadriceps Muscles
15	Functions to extend the foot at the ankle	Functions to move the foot at the ankle. 	1	The Gastrocnemius Muscle
16	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve. 	1	The Gastrocnemius Muscle
17	Functions to extend the thigh at the hip	Functions to move the upper leg.	0	The Gluteus Maximus Muscle
18	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve. 	1	The Quadriceps Muscles
19	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle. 	1	The Gastrocnemius Muscle
20	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve. 	1	The Gastrocnemius Muscle
21	Functions to extend the thigh at the hip	Functions to move the upper leg.	0	The Gluteus Maximus Muscle
22	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve. 	1	The Quadriceps Muscles
23	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
24	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
25	Is stimulated by the axillary nerve	axial	0	The Deltoid Muscle
26	Is stimulated by the radial nerve	axial	0	The Triceps Muscle
27	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
28	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
29	Is stimulated by the axillary nerve	stimulated by axillary nerves	1	The Deltoid Muscle
30	Is stimulated by the radial nerve	stimulated by radial nerves	1	The Triceps Muscle
31	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
32	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
33	Functions to extend the thigh at the hip	functions to extend the thigh 	0.5	The Gluteus Maximus Muscle
34	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
35	Functions to extend the foot at the ankle	flex foot towards and away from the leg	0	The Gastrocnemius Muscle
36	Is stimulated by the tibial nerve	stimulated by the  nerve	0	The Gastrocnemius Muscle
37	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
38	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
39	Functions to extend the foot at the ankle	extend the foot away from the leg at the ankle	1	The Gastrocnemius Muscle
40	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
41	Functions to extend the thigh at the hip	functions to extend thigh away from hip	1	The Gluteus Maximus Muscle
42	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
