id	target	response	score	question
mdeli73	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ghays66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
spark85	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
crami87	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
abegl55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
hrhon74	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
xande62	a fault	A revine	0	What is the name of a crack in the crust along which movement takes place?
jmorr34	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mcain54	a fault	a plate	0	What is the name of a crack in the crust along which movement takes place?
alara95	a fault	totonic plates????????	0	What is the name of a crack in the crust along which movement takes place?
kcoll69	a fault	earth quake	0	What is the name of a crack in the crust along which movement takes place?
dmosi93	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
bsher79	a fault	earths plates	0	What is the name of a crack in the crust along which movement takes place?
jrey59	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
howen65	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aruss55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cloy77	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sevan90	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mwilb70	a fault	heat inside the earth	0	What is the name of a crack in the crust along which movement takes place?
wmcne94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sbouf97	a fault	axis	0	What is the name of a crack in the crust along which movement takes place?
ahayw86	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
egetz07	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jflem89	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
bconk64	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jbrad94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
crami87	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
rburg66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mbrow71	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aboer60	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
shall79	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
ggreg66	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
brobi54	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lcarn56	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jblak74	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
iguey66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
epete74	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
kseit94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jwalt55	a fault	erosion	0	What is the name of a crack in the crust along which movement takes place?
jbarb51	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
eside63	a fault	earth's fault line	0.5	What is the name of a crack in the crust along which movement takes place?
dmont59	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
eirel61	a fault	fault line	1	What is the name of a crack in the crust along which movement takes place?
lpuck85	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
enoer61	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
abarn71	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aklem75	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
hpatt80	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cfros55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cmerc92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ncasa56	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sfran66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
kshat69	a fault	fault line	1	What is the name of a crack in the crust along which movement takes place?
sogle73	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sfros91	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jdaug60	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mbatt84	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mgonz82	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
tdelu72	a fault	atmisphere	0	What is the name of a crack in the crust along which movement takes place?
abeec66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lmohr62	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mumho63	a fault	erthcrace	0	What is the name of a crack in the crust along which movement takes place?
cpere94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ryosh64	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
mmorg96	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
iflan59	a fault	earthqauck	0	What is the name of a crack in the crust along which movement takes place?
aprat71	a fault	Earthquake	0	What is the name of a crack in the crust along which movement takes place?
mfroo55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lkric66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lgurl88	a fault	cuts	0	What is the name of a crack in the crust along which movement takes place?
ddigr96	a fault	an earthquake	0	What is the name of a crack in the crust along which movement takes place?
icruz76	a fault	earthcwak	0	What is the name of a crack in the crust along which movement takes place?
bbuga71	a fault	stone	0	What is the name of a crack in the crust along which movement takes place?
kaoki90	a fault	bread	0	What is the name of a crack in the crust along which movement takes place?
sfran66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
owhit92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cwood92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cmoor96	a fault	equator	0	What is the name of a crack in the crust along which movement takes place?
zkazi85	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
idiet54	a fault	fissure	0	What is the name of a crack in the crust along which movement takes place?
olans59	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
pobri85	a fault	Titonic plates	0	What is the name of a crack in the crust along which movement takes place?
yelle61	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aange64	a fault	tectonic plates	0	What is the name of a crack in the crust along which movement takes place?
mhamm65	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
wmathi31	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
egu53	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
zyou89	a fault	canyon	0	What is the name of a crack in the crust along which movement takes place?
jselb77	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
abail54	a fault	"volcano tectonic plate"	0	What is the name of a crack in the crust along which movement takes place?
rcai50	a fault	platonic plates	0	What is the name of a crack in the crust along which movement takes place?
agu52	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
bzhan76	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
rhass95	a fault	tetonic plate	0	What is the name of a crack in the crust along which movement takes place?
dzhan71	a fault	ravine	0	What is the name of a crack in the crust along which movement takes place?
rkunk88	a fault	I don't care	0	What is the name of a crack in the crust along which movement takes place?
mvemu68	a fault	An earthquake	0	What is the name of a crack in the crust along which movement takes place?
sye90	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ncasa56	a fault	"fault"	1	What is the name of a crack in the crust along which movement takes place?
mbatt84	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jdaug60	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ddigr96	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
icruz76	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
tdelu72	a fault	plain	0	What is the name of a crack in the crust along which movement takes place?
kaoki90	a fault	moevment	0	What is the name of a crack in the crust along which movement takes place?
bbuga71	a fault	Mantle	0	What is the name of a crack in the crust along which movement takes place?
mfroo55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
iflan59	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
mgonz82	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cfros55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
abeec66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aprat71	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
lkric66	a fault	a platuea	0	What is the name of a crack in the crust along which movement takes place?
sfran66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cmerc92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cpere94	a fault	"fault"	1	What is the name of a crack in the crust along which movement takes place?
lmohr62	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
kshat69	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
cpere94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sfros91	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ryosh64	a fault	plateau	0	What is the name of a crack in the crust along which movement takes place?
pmorg94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mumho63	a fault	fult	1	What is the name of a crack in the crust along which movement takes place?
mmorg96	a fault	leter	0	What is the name of a crack in the crust along which movement takes place?
sogle73	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lgurl88	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
sevan90	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jbrad94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mdeli73	a fault	plates	0	What is the name of a crack in the crust along which movement takes place?
sbouf97	a fault	fall line	0.5	What is the name of a crack in the crust along which movement takes place?
mcain54	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
xande62	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
abegl55	a fault	"plates"	0	What is the name of a crack in the crust along which movement takes place?
kcoll69	a fault	"mantle"	0	What is the name of a crack in the crust along which movement takes place?
jflem89	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
alara95	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
wmcne94	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ahayw86	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
egetz07	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
bmcgr82	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
ghays66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cloy77	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jmorr34	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
crami87	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
howen65	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
bsher79	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
hrhon74	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
dmosi93	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jrey59	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aruss55	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mwilb70	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
epete74	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
eirel61	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
hpatt80	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
kseit94	a fault	fold	0	What is the name of a crack in the crust along which movement takes place?
jblak74	a fault	fold	0	What is the name of a crack in the crust along which movement takes place?
ggreg66	a fault	fault line	1	What is the name of a crack in the crust along which movement takes place?
enoer61	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jwalt55	a fault	earth quake	0	What is the name of a crack in the crust along which movement takes place?
shall79	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
brobi54	a fault	fault line	1	What is the name of a crack in the crust along which movement takes place?
dmont59	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
shall79	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
jbarb51	a fault	fualt	1	What is the name of a crack in the crust along which movement takes place?
aklem75	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lpuck85	a fault	earthquake	0	What is the name of a crack in the crust along which movement takes place?
abarn71	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
cmill63	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
lcarn56	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
rburg66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
iguey66	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
aboer60	a fault	plateau	0	What is the name of a crack in the crust along which movement takes place?
mbrow71	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
eside63	a fault	fault line	1	What is the name of a crack in the crust along which movement takes place?
aange64	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
bzhan76	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
agu52	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
dzhan71	a fault	faulss	0	What is the name of a crack in the crust along which movement takes place?
pobri85	a fault	Titionic plates	0	What is the name of a crack in the crust along which movement takes place?
zkazi85	a fault	plate	0	What is the name of a crack in the crust along which movement takes place?
jselb77	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
abail54	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
dzhan71	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
sye90	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
rhass95	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
owhit92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mvemu68	a fault	"fold"	0	What is the name of a crack in the crust along which movement takes place?
rcai50	a fault	plate	0	What is the name of a crack in the crust along which movement takes place?
egu53	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
zyou89	a fault	plates	0	What is the name of a crack in the crust along which movement takes place?
cwood92	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
rkunk88	a fault	crack	0	What is the name of a crack in the crust along which movement takes place?
cmoor96	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
mhamm65	a fault	I don't know	0	What is the name of a crack in the crust along which movement takes place?
idiet54	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
olans59	a fault	fault	1	What is the name of a crack in the crust along which movement takes place?
yelle61	a fault	plate	0	What is the name of a crack in the crust along which movement takes place?
wmathi31	a fault	mantle	0	What is the name of a crack in the crust along which movement takes place?
cmcmi27	a fault	crevice	0	What is the name of a crack in the crust along which movement takes place?
mdeli73	a fold	I don't know	0	What is the name of a bend in rock layers?
ghays66	a fold	I don't know	0	What is the name of a bend in rock layers?
crami87	a fold	I don't know	0	What is the name of a bend in rock layers?
jmorr34	a fold	I don't know	0	What is the name of a bend in rock layers?
mcain54	a fold	I don't know	0	What is the name of a bend in rock layers?
spark85	a fold	I don't know	0	What is the name of a bend in rock layers?
abegl55	a fold	I don't know	0	What is the name of a bend in rock layers?
